Protein	Genes	ABAGE_IgG	ABAGE_S	ANAMA_IgG	ANAMA_S	CARVA_IgG	CARVA_S	CECPA_IgG	CECPA_S	CHAAN_IgG	CHAAN_S	control_TGF5	DEPMA_IgG	DEPMA_S	DEVZI_IgG	DEVZI_S	DUCMA_IgG	DUCMA_S	GRUMA_IgG	GRUMA_S	HC4_IgG	HC4_S	HC7_IgG	HC7_S	HC9_IgG	HC9_S	HC10_IgG	HC10_S	HC11_IgG	HC11_S	LEFKA_IgG	LEFKA_S	MATEV_IgG	MATEV_S	PBS	RADSO_IgG	RADSO_S	VANMC_IgG	VANMC_S	VERSA_IgG	VERSA_S	WILWI_IgG	WILWI_S
Q9Y512	SAMM50	26.3679	25.9781	25.8703	25.8064	26.0177	26.0847	25.5415	25.6242	25.5732	25.6327	25.3015	25.2953	25.8995	25.6564	25.6456	25.9301	25.4987	25.5218	25.5318	25.4799	25.6182	25.2996	25.0896	25.2584	25.3788	25.1457	25.1789	25.5034	25.3634	25.7719	25.993	25.5783	26.2595	25.1112	25.6564	25.3183	25.4032	25.2693	26.095	25.7424	25.0411	25.3277
X6RAL5	SAP18	24.9618	23.4468	24.1849	22.6917	25.4549	23.4438	25.8163	21.6509	25.4797	22.5513	25.5346	25.2951	21.7791	25.7606	25.384	26.0403	25.3702	24.6053	25.2237	25.4839	25.2756	25.0913	25.2467	25.0095	25.3215	26.1597	25.4052	25.0916	25.2606	23.0213	22.3252	21.2245	23.1325	22.4587	25.4157	25.5472	25.4124	26.0241	25.1129	22.5052	25.3054	24.0352
A0A024R5F3	SAPS3	22.9916	22.8463	23.9921	23.9982	22.4729	24.2629	22.6407	23.8541	23.8932	24.0401	23.5531	24.0367	22.4745	23.3936	24.4141	22.7843	24.3565	24.4102	22.0976	24.3128	22.7354	24.663	24.7932	23.886	24.2719	24.3436	24.7649	23.8359	24.4601	22.8291	24.1917	21.8085	22.4336	24.5687	23.8922	24.4373	24.1958	24.3248	22.7051	21.5712	23.4707	23.6936
Q5SQT9	SAR1A	23.4953	25.0155	28.0112	28.0903	28.3099	27.8677	27.6682	27.4802	27.7086	27.9142	26.8299	27.5833	26.4043	27.6426	27.7255	25.6582	21.5304	27.7777	27.8794	27.8504	28.1868	27.5119	27.5042	27.2158	27.608	26.5976	27.3118	26.4278	27.0361	27.8435	28.2677	27.908	27.9858	27.0683	27.6083	27.789	27.7741	27.69	26.5039	26.1921	25.6413	26.2622
Q53F37	SAR1B	23.5172	24.9875	26.3115	27.1869	27.5033	26.2153	26.5337	27.008	27.2343	27.0535	26.5497	27.257	21.8091	26.9226	26.911	26.3382	23.8919	26.6568	27.1935	27.1432	27.2463	26.7642	26.342	26.5084	26.9616	26.4377	26.7246	26.1367	26.4513	26.4939	27.5948	27.6084	27.2176	26.2991	27.1578	26.8267	26.793	26.8352	22.2803	26.0027	22.9282	23.6913
H0YHG0	SARNP	27.4518	27.5209	26.9986	26.881	27.0894	26.8234	26.6371	26.6101	26.4577	26.5122	26.4005	26.6472	27.0502	26.7152	26.6296	26.9729	27.1174	26.7701	26.5089	26.5582	26.4326	26.6553	26.4765	26.567	26.5908	26.9029	26.0709	26.6882	26.7769	26.8213	27.0062	27.0697	26.4999	26.5255	26.5916	26.6005	26.6549	26.3489	27.0776	26.9104	27.0092	26.9943
Q0VGA5	SARS	28.1436	28.5647	29.1856	29.2216	28.9468	29.0521	28.876	28.7741	28.8242	28.942	28.8737	28.6036	29.0622	28.8192	28.8604	28.8736	28.1871	29.046	29.0116	28.7554	28.8073	28.7079	28.4013	28.4712	28.5509	28.8643	28.8589	28.9118	28.7423	29.1109	28.9867	29.0305	28.9573	28.6214	28.9506	28.9853	28.8421	28.7144	28.842	29.2031	28.9659	28.6563
O43290	SART1	24.6697	23.0998	22.1262	22.0904	21.9822	21.9446	24.1695	21.3411	21.6464	22.0971	24.1654	22.7646	22.2514	21.8291	22.5338	23.2061	23.0044	22.648	23.441	23.7236	23.7714	22.5599	23.0436	23.748	22.2782	22.3512	24.1736	24.1536	23.2636	21.8285	23.1182	23.7948	23.7909	24.1035	23.8827	21.4967	24.046	23.5662	21.3897	22.2962	22.9735	23.634
Q15020	SART3	25.8503	25.3219	26.086	25.3507	26.0354	26.0896	24.9436	24.5069	25.3495	25.0882	24.8934	24.8287	24.9696	25.13	25.2413	25.0696	25.2415	24.9518	24.8505	25.0576	25.1996	25.1837	25.1988	24.8601	25.3139	25.4536	25.2892	25.0926	25.1446	25.0604	25.5071	24.9488	26.0407	25.6079	25.058	24.9735	25.4989	25.3452	25.126	24.9237	25.152	25.6247
A0A0S2Z5I7	SBDS	27.0057	27.9648	28.0009	28.0171	28.3822	28.2827	28.1707	27.8751	28.3614	28.3071	28.4363	28.1503	27.5733	28.4241	28.4393	28.1911	27.5161	28.1769	28.1261	28.3783	28.1985	28.4569	28.1887	27.9716	28.1559	28.0329	28.4433	28.4372	28.8153	27.8073	28.0283	27.7743	28.2963	28.2733	28.2492	27.9895	28.2875	28.5181	27.6711	27.6264	27.5704	27.1246
